Channel Name,Date,Cost,IHC,IH Revenue,CPO (Cost per Order),ROAS (Return on Ad Spend)
Affiliate & Partnerships,2023-08-29,525.3599999999971,0.0,571.51,0.00,1.09
Affiliate & Partnerships,2023-08-30,574.644,0.0,103.8,0.00,0.18
Affiliate & Partnerships,2023-08-31,572.7689999999993,0.0,123.53,0.00,0.22
Affiliate & Partnerships,2023-09-01,413.2050000000006,0.0,1042.4299999999998,0.00,2.52
Affiliate & Partnerships,2023-09-02,395.7069999999974,0.0,648.97,0.00,1.64
Affiliate & Partnerships,2023-09-03,430.7160000000017,0.0,805.77,0.00,1.87
Affiliate & Partnerships,2023-09-04,602.5120000000005,0.0,1090.7,0.00,1.81
Affiliate & Partnerships,2023-09-05,218.92799999999872,0.0,711.21,0.00,3.25
Affiliate & Partnerships,2023-09-06,190.40900000000002,0.0,985.5100000000002,0.00,5.18
Affiliate & Partnerships,2023-09-07,209.49000000000152,0.0,1286.8299999999997,0.00,6.14
Direct Traffic,2023-08-29,0.846,0.0,2543.79,0.00,3006.84
Direct Traffic,2023-08-30,6.840999999999999,0.0,2887.37,0.00,422.07
Direct Traffic,2023-08-31,3.661,0.0,2644.4999999999995,0.00,722.34
Direct Traffic,2023-09-01,3.6020000000000003,0.0,8431.9,0.00,2340.89
Direct Traffic,2023-09-02,4.757,1.0,11132.779999999993,4.76,2340.29
Direct Traffic,2023-09-03,1.352,0.0,10556.429999999997,0.00,7808.01
Direct Traffic,2023-09-04,7.974,0.0,13933.509999999995,0.00,1747.37
Direct Traffic,2023-09-05,4.6080000000000005,0.0,9556.249999999996,0.00,2073.84
Direct Traffic,2023-09-06,0.0,0.0,7411.409999999996,0.00,0.00
Direct Traffic,2023-09-07,2.562,0.0,5839.549999999999,0.00,2279.29
FB & IG Ads,2023-08-29,10302.799000000037,0.0,208.16,0.00,0.02
FB & IG Ads,2023-08-30,10348.764999999983,0.0,77.98,0.00,0.01
FB & IG Ads,2023-08-31,10311.620999999981,0.0,60.9,0.00,0.01
FB & IG Ads,2023-09-01,10150.074000000033,0.0,1812.35,0.00,0.18
FB & IG Ads,2023-09-02,10467.035999999936,0.0,1792.250000000001,0.00,0.17
FB & IG Ads,2023-09-03,11424.587999999963,0.0,1532.08,0.00,0.13
FB & IG Ads,2023-09-04,10499.175000000007,0.0,1199.6899999999996,0.00,0.11
FB & IG Ads,2023-09-05,8227.969000000006,0.0,693.64,0.00,0.08
FB & IG Ads,2023-09-06,8299.712999999969,0.0,1151.3,0.00,0.14
FB & IG Ads,2023-09-07,8066.876999999993,0.0,732.9099999999999,0.00,0.09
Lead Generation,2023-08-29,1233.3610000000003,0.0,0.0,0.00,0.00
Lead Generation,2023-08-30,1202.1770000000006,0.0,0.0,0.00,0.00
Lead Generation,2023-08-31,1203.1710000000007,0.0,0.0,0.00,0.00
Lead Generation,2023-09-01,1189.5839999999998,0.0,0.0,0.00,0.00
Lead Generation,2023-09-02,1201.2820000000002,0.0,0.0,0.00,0.00
Lead Generation,2023-09-03,1256.2079999999992,0.0,0.0,0.00,0.00
Lead Generation,2023-09-04,1311.5490000000007,0.0,0.0,0.00,0.00
Lead Generation,2023-09-05,945.6090000000004,0.0,0.0,0.00,0.00
Lead Generation,2023-09-06,388.13599999999997,0.0,0.0,0.00,0.00
Lead Generation,2023-09-07,173.984,0.0,0.0,0.00,0.00
Microsoft Ads,2023-08-29,206.20499999999996,0.0,0.0,0.00,0.00
Microsoft Ads,2023-08-30,218.84199999999993,0.0,0.0,0.00,0.00
Microsoft Ads,2023-08-31,194.87000000000015,0.0,22.68,0.00,0.12
Microsoft Ads,2023-09-01,166.83099999999985,0.0,0.0,0.00,0.00
Microsoft Ads,2023-09-02,116.50600000000003,0.0,572.49,0.00,4.91
Microsoft Ads,2023-09-03,142.84500000000008,0.0,118.33,0.00,0.83
Microsoft Ads,2023-09-04,176.46299999999974,0.0,496.1600000000001,0.00,2.81
Microsoft Ads,2023-09-05,140.30099999999996,0.0,200.35999999999999,0.00,1.43
Microsoft Ads,2023-09-06,174.95299999999995,0.0,129.4,0.00,0.74
Microsoft Ads,2023-09-07,141.9249999999999,0.0,130.47,0.00,0.92
Newsletter & Email,2023-08-29,0.0,0.0,1554.9399999999994,0.00,0.00
Newsletter & Email,2023-08-30,0.0,0.0,474.89,0.00,0.00
Newsletter & Email,2023-08-31,0.0,0.0,5786.220000000001,0.00,0.00
Newsletter & Email,2023-09-01,0.0,0.0,6538.160000000001,0.00,0.00
Newsletter & Email,2023-09-02,0.0,0.0,6435.54,0.00,0.00
Newsletter & Email,2023-09-03,0.0,0.0,7136.870000000003,0.00,0.00
Newsletter & Email,2023-09-04,0.0,0.0,18462.859999999993,0.00,0.00
Newsletter & Email,2023-09-05,0.0,0.0,3109.9600000000005,0.00,0.00
Newsletter & Email,2023-09-06,0.0,0.0,2497.92,0.00,0.00
Newsletter & Email,2023-09-07,0.0,0.0,6904.050000000001,0.00,0.00
Organic Traffic,2023-08-29,1.157,0.0,182.0,0.00,157.30
Organic Traffic,2023-08-30,0.073,0.0,883.47,0.00,12102.33
Organic Traffic,2023-08-31,0.0,0.0,761.96,0.00,0.00
Organic Traffic,2023-09-01,1.566,0.0,1680.03,0.00,1072.82
Organic Traffic,2023-09-02,4.679,0.0,2222.4,0.00,474.97
Organic Traffic,2023-09-03,0.885,0.0,2609.43,0.00,2948.51
Organic Traffic,2023-09-04,7.209999999999999,0.0,2890.5699999999993,0.00,400.91
Organic Traffic,2023-09-05,1.211,0.0,3271.0200000000004,0.00,2701.09
Organic Traffic,2023-09-06,1.619,0.0,2766.4800000000005,0.00,1708.76
Organic Traffic,2023-09-07,0.448,0.0,2057.41,0.00,4592.43
Paid Search Brand,2023-08-29,2113.5309999999486,0.0,830.6500000000001,0.00,0.39
Paid Search Brand,2023-08-30,1815.9750000000208,0.0,924.79,0.00,0.51
Paid Search Brand,2023-08-31,1804.3639999999825,0.0,1600.59,0.00,0.89
Paid Search Brand,2023-09-01,1680.2649999999983,0.0,3895.09,0.00,2.32
Paid Search Brand,2023-09-02,1731.0549999999953,0.0,3348.6700000000014,0.00,1.93
Paid Search Brand,2023-09-03,1983.1809999999816,0.0,6678.479999999998,0.00,3.37
Paid Search Brand,2023-09-04,1906.276000000053,0.0,5204.519999999998,0.00,2.73
Paid Search Brand,2023-09-05,1322.7590000000046,0.0,2837.2199999999993,0.00,2.14
Paid Search Brand,2023-09-06,1487.921000000014,0.0,3624.2999999999993,0.00,2.44
Paid Search Brand,2023-09-07,1456.5310000000254,0.0,4245.799999999999,0.00,2.92
Paid Search Non Brand,2023-08-29,2069.8440000000023,0.0,229.84000000000003,0.00,0.11
Paid Search Non Brand,2023-08-30,1967.2809999999874,0.0,26.04,0.00,0.01
Paid Search Non Brand,2023-08-31,2069.081999999986,0.0,155.97,0.00,0.08
Paid Search Non Brand,2023-09-01,1678.4750000000045,0.0,426.61,0.00,0.25
Paid Search Non Brand,2023-09-02,1963.9020000000119,0.0,410.59000000000003,0.00,0.21
Paid Search Non Brand,2023-09-03,2539.909000000015,0.0,869.7899999999998,0.00,0.34
Paid Search Non Brand,2023-09-04,2126.6490000000176,0.0,161.35,0.00,0.08
Paid Search Non Brand,2023-09-05,1687.890999999984,0.0,397.47,0.00,0.24
Paid Search Non Brand,2023-09-06,1682.7830000000067,0.0,380.1,0.00,0.23
Paid Search Non Brand,2023-09-07,1523.433000000001,0.0,540.8999999999999,0.00,0.36
Performance Max,2023-08-29,11782.176000000329,0.0,964.6500000000001,0.00,0.08
Performance Max,2023-08-30,12769.342000000057,0.0,702.9300000000001,0.00,0.06
Performance Max,2023-08-31,12153.618999999808,0.0,1158.5900000000001,0.00,0.10
Performance Max,2023-09-01,11658.286000000055,0.0,6222.990000000001,0.00,0.53
Performance Max,2023-09-02,12676.127999999902,0.0,5555.329999999999,0.00,0.44
Performance Max,2023-09-03,14880.340000001299,0.0,5223.129999999997,0.00,0.35
Performance Max,2023-09-04,14205.454000000196,0.0,6693.629999999996,0.00,0.47
Performance Max,2023-09-05,14151.739999999803,0.0,4847.039999999998,0.00,0.34
Performance Max,2023-09-06,13385.691000000617,0.0,3913.1099999999997,0.00,0.29
Performance Max,2023-09-07,12339.060999999943,0.0,2641.2099999999987,0.00,0.21
Pinterest Ads,2023-09-03,0.0,0.0,0.0,0.00,0.00
Referral,2023-08-29,0.0,0.0,26.69,0.00,0.00
Referral,2023-08-30,0.0,0.0,0.0,0.00,0.00
Referral,2023-08-31,0.922,0.0,890.43,0.00,965.76
Referral,2023-09-01,0.0,0.0,1332.37,0.00,0.00
Referral,2023-09-02,0.0,0.0,817.83,0.00,0.00
Referral,2023-09-03,0.0,0.0,1320.9,0.00,0.00
Referral,2023-09-04,1.21,0.0,2402.94,0.00,1985.90
Referral,2023-09-05,0.0,0.0,707.1499999999999,0.00,0.00
Referral,2023-09-06,0.0,0.0,1007.57,0.00,0.00
Referral,2023-09-07,0.506,0.0,513.92,0.00,1015.65
Social Organic,2023-08-29,114.46,0.0,28.33,0.00,0.25
Social Organic,2023-08-30,170.52,0.0,0.0,0.00,0.00
Social Organic,2023-08-31,176.829,0.0,0.0,0.00,0.00
Social Organic,2023-09-01,293.52,0.0,45.449999999999996,0.00,0.15
Social Organic,2023-09-02,342.46000000000004,0.0,249.27999999999997,0.00,0.73
Social Organic,2023-09-03,378.31000000000006,0.0,119.72,0.00,0.32
Social Organic,2023-09-04,352.581,0.0,280.90999999999997,0.00,0.80
Social Organic,2023-09-05,179.99099999999999,0.0,101.41,0.00,0.56
Social Organic,2023-09-06,172.98,0.0,205.3,0.00,1.19
Social Organic,2023-09-07,174.43,0.0,647.49,0.00,3.71
TikTok Ads,2023-08-29,1139.1499999999983,0.0,0.0,0.00,0.00
TikTok Ads,2023-08-30,1111.4540000000006,0.0,0.0,0.00,0.00
TikTok Ads,2023-08-31,1118.759000000001,0.0,0.0,0.00,0.00
TikTok Ads,2023-09-01,1096.8799999999983,0.0,29.22,0.00,0.03
TikTok Ads,2023-09-02,1104.6160000000016,0.0,18.33,0.00,0.02
TikTok Ads,2023-09-03,1112.1339999999989,0.0,45.97999999999999,0.00,0.04
TikTok Ads,2023-09-04,1065.6549999999988,0.0,0.0,0.00,0.00
TikTok Ads,2023-09-05,1064.3849999999989,0.0,17.490000000000002,0.00,0.02
TikTok Ads,2023-09-06,1062.4659999999978,0.0,71.9,0.00,0.07
TikTok Ads,2023-09-07,965.3959999999988,0.0,0.0,0.00,0.00
Untracked Conversions,2023-08-29,0.0,0.0,95.46,0.00,0.00
Untracked Conversions,2023-08-30,0.0,0.0,0.0,0.00,0.00
Untracked Conversions,2023-08-31,0.0,0.0,0.0,0.00,0.00
Untracked Conversions,2023-09-01,0.0,0.0,718.59,0.00,0.00
Untracked Conversions,2023-09-02,0.0,0.0,105.53,0.00,0.00
Untracked Conversions,2023-09-03,0.0,0.0,528.8100000000001,0.00,0.00
Untracked Conversions,2023-09-04,0.0,0.0,645.5500000000001,0.00,0.00
Untracked Conversions,2023-09-05,0.0,0.0,107.66,0.00,0.00
Untracked Conversions,2023-09-06,0.0,0.0,224.83,0.00,0.00
Untracked Conversions,2023-09-07,0.0,0.0,818.1500000000001,0.00,0.00
YouTube Ads,2023-08-29,0.0,0.0,0.0,0.00,0.00
YouTube Ads,2023-08-30,0.0,0.0,0.0,0.00,0.00
YouTube Ads,2023-08-31,0.0,0.0,0.0,0.00,0.00
YouTube Ads,2023-09-01,0.0,0.0,0.0,0.00,0.00
YouTube Ads,2023-09-02,0.0,0.0,0.0,0.00,0.00
YouTube Ads,2023-09-03,0.0,0.0,0.0,0.00,0.00
YouTube Ads,2023-09-05,0.0,0.0,0.0,0.00,0.00
YouTube Ads,2023-09-06,0.0,0.0,0.0,0.00,0.00
YouTube Ads,2023-09-07,0.0,0.0,0.0,0.00,0.00
